Site Code,Date (DDMMYYYY),Department,Hour,Actual Hours '22,Budget Rota Hours,Labour Model Hours
D1,2022-08-01 00:00:00,Barback,7,1,1,
D1,2022-08-01 00:00:00,Bartender,7,4,3,
D1,2022-08-01 00:00:00,Expo,7,1,1,
D1,2022-08-01 00:00:00,Hosts,7,1,1,
D1,2022-08-01 00:00:00,Runners,7,,2,
D1,2022-08-01 00:00:00,Servers,7,3,3,
D2,2022-08-01 00:00:00,Barback,7,1,1,
D2,2022-08-01 00:00:00,Bartender,7,6,5,
D2,2022-08-01 00:00:00,Expo,7,1,1,
D2,2022-08-01 00:00:00,Hosts,7,1,1,
D2,2022-08-01 00:00:00,Runners,7,,1,
D2,2022-08-01 00:00:00,Servers,7,0,1,
D3,2022-08-01 00:00:00,Barback,7,1,1,
D3,2022-08-01 00:00:00,Bartender,7,5,4,
D3,2022-08-01 00:00:00,Expo,7,1,1,
D3,2022-08-01 00:00:00,Hosts,7,1,1,
D3,2022-08-01 00:00:00,Runners,7,1,1,
D3,2022-08-01 00:00:00,Servers,7,3,4,
D4,2022-08-01 00:00:00,Barback,7,1,1,
D4,2022-08-01 00:00:00,Bartender,7,3,3,
D4,2022-08-01 00:00:00,Expo,7,,0,
D4,2022-08-01 00:00:00,Hosts,7,1,1,
D4,2022-08-01 00:00:00,Runners,7,0,0,
D4,2022-08-01 00:00:00,Servers,7,1,0,
D5,2022-08-01 00:00:00,Barback,7,1,0,
D5,2022-08-01 00:00:00,Bartender,7,3,3,
D5,2022-08-01 00:00:00,Expo,7,1,1,
D5,2022-08-01 00:00:00,Hosts,7,0,0,
D5,2022-08-01 00:00:00,Runners,7,1,1,
D5,2022-08-01 00:00:00,Servers,7,,0,
D6,2022-08-01 00:00:00,Barback,7,,0,
D6,2022-08-01 00:00:00,Bartender,7,3,0,
D6,2022-08-01 00:00:00,Expo,7,1,0,
D6,2022-08-01 00:00:00,Hosts,7,1,0,
D6,2022-08-01 00:00:00,Runners,7,1,0,
D6,2022-08-01 00:00:00,Servers,7,2,0,
D7,2022-08-01 00:00:00,Barback,7,,0,
D7,2022-08-01 00:00:00,Bartender,7,3,3,
D7,2022-08-01 00:00:00,Expo,7,3,1,
D7,2022-08-01 00:00:00,Hosts,7,1,1,
D7,2022-08-01 00:00:00,Runners,7,,1,
D7,2022-08-01 00:00:00,Servers,7,1,1,
D8,2022-08-01 00:00:00,Barback,7,,1,
D8,2022-08-01 00:00:00,Bartender,7,4,4,
D8,2022-08-01 00:00:00,Expo,7,1,1,
D8,2022-08-01 00:00:00,Hosts,7,1,1,
D8,2022-08-01 00:00:00,Runners,7,1,1,
D8,2022-08-01 00:00:00,Servers,7,2,2,
D1,2022-08-01 00:00:00,Barback,8,1,1,1
D1,2022-08-01 00:00:00,Bartender,8,4,3,2
D1,2022-08-01 00:00:00,Expo,8,1,2,1
D1,2022-08-01 00:00:00,Hosts,8,2,3,2
D1,2022-08-01 00:00:00,Runners,8,,4,2
D1,2022-08-01 00:00:00,Servers,8,4,11,2
D2,2022-08-01 00:00:00,Barback,8,2,,
D2,2022-08-01 00:00:00,Bartender,8,6,,
D2,2022-08-01 00:00:00,Expo,8,1,,
D2,2022-08-01 00:00:00,Hosts,8,2,2,1
D2,2022-08-01 00:00:00,Runners,8,2,2,1
D2,2022-08-01 00:00:00,Servers,8,3,9,2
D3,2022-08-01 00:00:00,Barback,8,1,,
D3,2022-08-01 00:00:00,Bartender,8,5,,
D3,2022-08-01 00:00:00,Expo,8,1,,
D3,2022-08-01 00:00:00,Hosts,8,2,4,2
D3,2022-08-01 00:00:00,Runners,8,1,4,1
D3,2022-08-01 00:00:00,Servers,8,6,10,3
D4,2022-08-01 00:00:00,Barback,8,1,,
D4,2022-08-01 00:00:00,Bartender,8,3,,
D4,2022-08-01 00:00:00,Expo,8,1,,
D4,2022-08-01 00:00:00,Hosts,8,3,3,2
D4,2022-08-01 00:00:00,Runners,8,2,2,1
D4,2022-08-01 00:00:00,Servers,8,5,5,2
D5,2022-08-01 00:00:00,Barback,8,1,,
D5,2022-08-01 00:00:00,Bartender,8,4,,
D5,2022-08-01 00:00:00,Expo,8,1,,
D5,2022-08-01 00:00:00,Hosts,8,3,2,3
D5,2022-08-01 00:00:00,Runners,8,3,3,3
D5,2022-08-01 00:00:00,Servers,8,5,3,4
D6,2022-08-01 00:00:00,Bartender,8,3,,
D6,2022-08-01 00:00:00,Expo,8,1,,
D6,2022-08-01 00:00:00,Hosts,8,3,0,2
D6,2022-08-01 00:00:00,Runners,8,2,0,1
D6,2022-08-01 00:00:00,Servers,8,3,0,1
D7,2022-08-01 00:00:00,Barback,8,1,,
D7,2022-08-01 00:00:00,Bartender,8,3,,
D7,2022-08-01 00:00:00,Expo,8,3,,
D7,2022-08-01 00:00:00,Hosts,8,2,2,
D7,2022-08-01 00:00:00,Runners,8,1,2,
D7,2022-08-01 00:00:00,Servers,8,2,2,
D8,2022-08-01 00:00:00,Bartender,8,4,,
D8,2022-08-01 00:00:00,Expo,8,1,,
D8,2022-08-01 00:00:00,Hosts,8,2,2,
D8,2022-08-01 00:00:00,Runners,8,2,2,
D8,2022-08-01 00:00:00,Servers,8,4,2,
D1,2022-08-01 00:00:00,Barback,9,1,1,1
D1,2022-08-01 00:00:00,Bartender,9,5,4,3
D1,2022-08-01 00:00:00,Expo,9,2,2,1
D1,2022-08-01 00:00:00,Hosts,9,5,4,1
D1,2022-08-01 00:00:00,Runners,9,4,5,3
D1,2022-08-01 00:00:00,Servers,9,7,11,5
D2,2022-08-01 00:00:00,Barback,9,2,2,1
D2,2022-08-01 00:00:00,Bartender,9,6,6,2
D2,2022-08-01 00:00:00,Expo,9,1,1,1
D2,2022-08-01 00:00:00,Hosts,9,2,,
D2,2022-08-01 00:00:00,Runners,9,2,0,0
D2,2022-08-01 00:00:00,Servers,9,4,,
D3,2022-08-01 00:00:00,Barback,9,1,2,1
D3,2022-08-01 00:00:00,Bartender,9,5,4,5
D3,2022-08-01 00:00:00,Expo,9,1,1,2
D3,2022-08-01 00:00:00,Hosts,9,4,,
D3,2022-08-01 00:00:00,Runners,9,2,0,1
D3,2022-08-01 00:00:00,Servers,9,8,,
D4,2022-08-01 00:00:00,Barback,9,1,1,0
D4,2022-08-01 00:00:00,Bartender,9,3,3,3
D4,2022-08-01 00:00:00,Expo,9,1,1,1
D4,2022-08-01 00:00:00,Hosts,9,3,,
D4,2022-08-01 00:00:00,Runners,9,2,0,0
D4,2022-08-01 00:00:00,Servers,9,6,,
